business_name,address,phone_number,email,city,state,zip_code_postcode,website,description,latitude,longitude,ticker_symbol,kindex_score,is_black_owned,business_location,category,hero_image,owner_name,is_premium,tier_level,is_ecommerce,is_veteran,subscription_tier,marketing_generations_used,is_priority_pinned,is_claimed,kindex_velocity,ar_asset_url,is_ar_enabled,has_flash_beacon,loi_signed,marketing_tier,doordash_url,ubereats_url,grubhub_url,is_delivery_eligible,firestore_location,search_keywords,is_farmer,is_wholesale,is_retail,is_verified,review_count,interaction_count,total_sentiment_score
McDonald's,"1809 Frontage Rd, Van Horn, TX 79855",4322832692,,Van Horn,Texas,79855,https://www.mcdonalds.com/us/en-us/location/TX/VAN-HORN/1809-SE-FRONTAGE-RD/11696.html?cid=RF:YXT:GMB::Clicks,"Classic, long-running fast-food chain known for its burgers & fries.",31.0347326,-104.8554998,MCDO,500,FALSE,"31.0347326, -104.8554998",Fast food restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.0347326, -104.8554998",,FALSE,FALSE,FALSE,FALSE,0,0,0
Domino's Pizza,"1003 N Sycamore St, Fort Stockton, TX 79735",4323369999,,Fort Stockton,Texas,79735,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,"Delivery, carryout & dine-in chain offering a wide range of pizzas, plus a variety of other dishes & sides.",30.8948986,-102.9092595,DOMI,500,FALSE,"30.8948986, -102.9092595",Pizza delivery,,,FALSE,,,,Free,,,,0,,,,,,,,,,"30.8948986, -102.9092595",,FALSE,FALSE,FALSE,FALSE,0,0,0
Taco Villa,"2120 E 42Nd St, Odessa, TX 79762",4323622528,,Odessa,Texas,79762,https://tacovilla.net/,"Local chain doling out familiar Mexican plates in a casual, kid-friendly space.",31.8888345,-102.3520673,TACO,500,FALSE,"31.8888345, -102.3520673",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8888345, -102.3520673",,FALSE,FALSE,FALSE,FALSE,0,0,0
Black Cultural Council of Odessa,"1020 Martin Luther King, Jr. St, Odessa, TX 79761",4328889276,,Odessa,Texas,79761,https://odessabcc.org/,,31.8445798,-102.3507112,BLAC,500,FALSE,"31.8445798, -102.3507112",Non-profit organization,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.8445798, -102.3507112",,FALSE,FALSE,FALSE,FALSE,0,0,0
Walk-On's Sports Bistreaux - Odessa Restaurant,"7280 TX-191, Odessa, TX 79765",4326984100,,Odessa,Texas,79765,https://locate.walk-ons.com/tx/odessa/restaurants-409.html,"This game-day bar serves burgers & fried fare, plus local beers & party platters for big groups.",31.9117096,-102.2969755,WALK,500,FALSE,"31.9117096, -102.2969755",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.9117096, -102.2969755",,FALSE,FALSE,FALSE,FALSE,0,0,0
Carl's Jr.,"5313 W Loop 250 N, Midland, TX 79707",4326956883,,Midland,Texas,79707,https://locations.carlsjr.com/tx/midland/5313-west-loop-250-n,"Fast-food chain known for its variety of piled-high burgers & meal combos, plus shakes.",32.0165091,-102.1564032,CARL,500,FALSE,"32.0165091, -102.1564032",Fast food restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"32.0165091, -102.1564032",,FALSE,FALSE,FALSE,FALSE,0,0,0
Saltgrass Steak House,"4511 W Loop 250 N, Midland, TX 79707",4326990476,,Midland,Texas,79707,https://www.saltgrass.com/location/saltgrass-midland/,Informal Texas-themed chain offers a meaty menu & full bar amid cattle kitsch decor.,32.0261332,-102.1468797,SALT,500,FALSE,"32.0261332, -102.1468797",Steak house,,,FALSE,,,,Free,,,,0,,,,,,,,,,"32.0261332, -102.1468797",,FALSE,FALSE,FALSE,FALSE,0,0,0
Supercuts,"2215 Midland Dr #2D, Midland, TX 79707",4323150395,,Midland,Texas,79707,https://www.supercuts.com/locations/nearme/haircut/tx/midland/2215-n-midland-dr-ste-2d/8404,,32.0083119,-102.140036,SUPE,500,FALSE,"32.0083119, -102.140036",Hair salon,,,FALSE,,,,Free,,,,0,,,,,,,,,,"32.0083119, -102.140036",,FALSE,FALSE,FALSE,FALSE,0,0,0
Taco Villa,"4411 Andrews Hwy, Midland, TX 79703",4326991131,,Midland,Texas,79703,https://tacovilla.net/,"Local chain doling out familiar Mexican plates in a casual, kid-friendly space.",32.0010033,-102.1383467,TACO,500,FALSE,"32.0010033, -102.1383467",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"32.0010033, -102.1383467",,FALSE,FALSE,FALSE,FALSE,0,0,0
Perfect Brow Bar,"4511 N Midkiff Rd A-2, Midland, TX 79705",4327017101,,Midland,Texas,79705,https://perfectbrowbar.com/stores/midland/,,32.0306851,-102.1333366,PERF,500,FALSE,"32.0306851, -102.1333366",Beauty salon,,,FALSE,,,,Free,,,,0,,,,,,,,,,"32.0306851, -102.1333366",,FALSE,FALSE,FALSE,FALSE,0,0,0
